Author;ID;PIDs;Keywords
Lindeberg, Tony;113;443263,634396,473387,338803,441151,474422,338656,474413,465766,440708,465703,474276,472969,473351,473428,473379,473368,473362,473381,339453,453064,473627,466293,338874,474284,443275,441205,440633,444655,473389,335153,442082,472978,441155,474472,473383,465689,464973,338468,440700,473392,546842,474298,441212,473431,472968,474296,473385,789796,473366,472972,473373,440719,442088,1144192,465018,442098,440686,473371,466218,442100;matching,scale-space,image features,tracking,recognition,multi-scale representations,multi-scale analysis,automatic scale selection,multi-channel texture analysis,active inspection system,carbide classification,texture segmentation,filters,images,scale,brain activation,human brain mapping,functional region,primal sketch,scale selection,blob detection,multi-scale representation,computer vision,automatic road extraction,aerial imagery,snakes,multi-scale,evaluation,ridge detection,edge-detection,selection,curve segmentation,minimum description length,junction detection,edge detection,curvature,classification,object recognition,image descriptor,histogram,object categorization,gaussian derivative,spatio-chromatic derivative,differential invariant,spatio-chromatic differential invariant,image feature,colour feature,cue combination,multiple cues,affine transformation,image correspondence,optic flow,shape estimation,stereo,motion,texture,disparity,vergence,invariance,deformation,decomposition,singular value,second moment matrix,surface model,enforced consistency,visual front-end,scale-space - visual front end - smoothing - gaussian filtering - gaussian derivative - discrete approximation - edge detection - junction detection - multiscale representation - computer vision - digital signal processing,computer vision,low-level processing,diffusion,gaussian filtering,discrete smoothing,segmentation,descriptive elements,scale detection,image structure,focus-of-attention,tuning low-level processing,edge focusing,histogram analysis,junction classification,perceptual grouping,texture analysis,critical points,classification of blob events,bifurcations,drift velocity,density of local extrema,digital signal processing,effective scale,scale-space lifetime,discrete smoothing transformations,brain mapping,cerebral activation,clusters,tactile,normalized derivative,feature detection,corner detection,frequency estimation,gaussian derivative,feature,blob,corner,similarity,affine,enhancement,fingerprint,image processing,surface orientation,algorithm,system,cues,fovea,retina,receptive field,log-polar mapping,resolution,scale-space,multi-scale representation,scale-space axioms,non-enhancement of local extrema,causality,scale invariance,gaussian kernel,gaussian derivative,spatio-temporal,affine,spatial,temporal,time-recursive,receptive field,diffusion,computer vision,image processing,junction localization,gaussian derivative,local features,motion descriptors,velocity adaptation,action recognition,learning,svm,human movement,representation,differentiald invariant,feature localization,edge detection multi-scale representation,object representation,shape analysis,applications,image segmentation,shape,ridges,interest point,scale calibration,scale linking,feature trajectory,deep structure,gaussian derivative,singularity,critical point,bifurcation,extremum region,blob event,gaussian smoothing,wavelets,computer vision,data mining,geometry,image analysis,laboratories,noise shaping,shape,smoothing methods,statistics,surface texture,shape estimation,shape from texture,disparity,adaptation,affine deformation,optic flow,acceleration,computer vision,event detection,image motion analysis,indexing,layout,motion analysis,optical computing,spatiotemporal phenomena,videoconference,scale selection,scale,scale space,spatial,temporal,spatio-temporal,scale invariance,scale covariance,feature detection,differential invariant,interest point,video analysis,computer vision,affine trifocal tensor,trilinear tensor,perspective,projection,structure,factorization,point,line,ridge,human-computer interaction,computer vision.
Fredriksson, Bastian;1554;1121040,811055;public key infrastructure,blockchain,merkle tree,proof of stake,certificate authority,graph decomposition,strongly connected component,pursuit-evasion,search number,el-system,formal grammar,greedy heuristic
Ryan, David;88ed40c4-6741-43bb-a758-aa9852d1dab6;1895902;data structures,linked representations,octrees,point cloud,digitalelevation model,spatial indexing,datastrukturer,länkade representationer,okträd,punktmoln,digital höjdmodell,spatial indexering
Tidestav, Louise;321b9121-03f4-445f-86e0-76dcc6e64276;1897676;domain-specific language,geospatial,graphics processing unit,domänspecifikt språk,geospatial,grafikprocessor
Jonsson, Ludvig;74a2005b-a055-4dbc-af34-d6df2057ed90;890319;
Bäck Eneroth, Moa;556b1142-cc9e-4cf6-84ec-689faa23e413;1466906;
Khan, Ahmad Salman;7d6b2731-dc31-4548-acf1-3cc4770b9c78;621638;
Mo, Fan;114;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
Chaplin, Jack C.;115;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
Sanderson, David;116;1711349;artificial intelligence,multi-agent programming,digital twin,process simulation
